country,word,image,crop,description
Belgium,Belgian waffles,https://www.finedininglovers.com/sites/g/files/xknfdk626/files/styles/recipes_1200_800_fallback/public/Original_14590_belgian-waffle-cookies.jpg?itok=2nQyuiqr
Netherlands,Dutch courage,https://dutchreview.com/wp-content/uploads/dutch-courage-drinking-.jpg,,supposedly dates to the Anglo-Dutch Wars
Ireland,Irish coffee,"https://assets.epicurious.com/photos/5bdb0b6da54ae06c159f858c/16:9/w_4992,h_2808,c_limit/irish-coffee-whiskey-cocktail-recipe-110118.jpg",0.8
Wales,welch,https://golfdigest.sports.sndimg.com/content/dam/images/golfdigest/fullset/2015/07/21/55adb46dadd713143b4499f3_magazine-2014-10-maar01-closeout-welching-a-bet.jpg.rend.hgtvcom.966.725.suffix/1588729859167.jpeg,,compare gyp (“swindle”) and jew (“defraud”)
Portugal,Portuguese man o' war,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Portugiesische_galeere.jpg/301px-Portugiesische_galeere.jpg,,named after its resemblance to a caravel
Hungary,Hungarian notation,https://static1.makeuseofimages.com/wordpress/wp-content/uploads/2021/04/hungarian-notation.png,,computing identifier naming convention invented by Charles Simonyi
Greece,Greek to me,https://knowyourphrase.com/wp-content/uploads/2019/06/all-greek-to-him.jpg,,other languages often use Chinese as "stereotypically incomprehensible"
USA,Americano,https://cdn.buttercms.com/AB7ud4YSE6nmOX0iGlgA,,from Italian or Spanish (or both)
England,full English,https://iamafoodblog.b-cdn.net/wp-content/uploads/2019/02/full-english-7355w-2.jpg
Cuba,Cuban sandwich,https://i0.wp.com/whiteplateblankslate.com/wp-content/uploads/2018/10/cuban-sandwich.jpg?fit=900%2C1345,0.5,invented in Florida
Australia & NZ,Anzac biscuits,https://img.taste.com.au/1yXCX-fO/taste/2016/11/traditional-anzac-biscuits-101685-1.jpeg,,named for the Australian and New Zealand Army Corps
Ethiopia,Abyssinian,"https://www.thesprucepets.com/thmb/7p0TopOHEHX3aQsdYzRdidbS0Lo=/2121x1414/filters:fill(auto,1)/GettyImages-165827729-efc11c02690f457a81ef6ccbfa8eb34d.jpg",0.65,from Ethiopia's old name Abyssinia
Afghanistan,afghan,https://ae01.alicdn.com/kf/H89c562aa52dc4f97b2bf17c6e6f4c8ccW.jpg_Q90.jpg_.webp
Poland,polonium,https://i.ytimg.com/vi/8_1F-jXr7VI/hqdefault.jpg,,named after Marie Curie's homeland
UK,Britpop,https://www.nme.com/wp-content/uploads/2016/10/9_2000OasisPA080911-1-1.jpg
Armenia,Armenian cucumber,https://m.media-amazon.com/images/I/81Gsf0ABbfL._AC_SY606_.jpg
Saudi Arabia*,Arabian horsse,https://media.meer.com/attachments/e6c1c28999dba0390d5bb1f1dd861103118f1b45/store/fill/860/645/a6bab0103d106ec3343a174261e6747cad2fe159d79b3d3f3799e7f561e0/SF-Veraz-c-Iavan-Photography.jpg
